case_id,snapshot_at,created_at,channel,case_type,category,subcategory,priority,sla_target_hours,first_response_time_hours,resolution_time_hours,status,resolution_code,escalated,assigned_team,escalation_team,customer_tenure_months,plan_tier,region_uk,age_band,gender,case_summary,sentiment,csat_score,tags
ND-2025-001500,2026-01-01T00:00:00Z,2025-08-08T08:25:00Z,phone,service_request,account_admin,user_management,Medium,24.0,26.5,"",pending,"",false,operations,"",10,Standard,Yorkshire,35-44,F,"Cannot add new user getting error.",Negative,"",user_management;add;error;admin;permissions
ND-2025-001501,2026-01-01T00:00:00Z,2025-08-09T11:45:00Z,email,incident,data_reporting,dashboard,High,8.0,9.0,"",open,"",false,data,"",25,Pro,London,25-34,M,"Dashboard widgets are all blank.",Negative,"",dashboard;blank;widget;error;data
ND-2025-001502,2026-01-01T00:00:00Z,2025-08-10T14:10:00Z,in_app,service_request,other,miscellaneous,Low,48.0,50.0,"",new,"",false,operations,"",1,Free,East Midlands,18-24,F,"Just testing the support chat.",Neutral,"",test_ticket;other;inquiry;chat;support
ND-2025-001503,2026-01-01T00:00:00Z,2025-08-11T09:30:00Z,webchat,incident,bug,glitch,Medium,24.0,25.0,"",open,"",false,engineering,"",14,Standard,North East,45-54,M,"Menu bar flickers when scrolling.",Neutral,"",glitch;ui;menu;scroll;bug
ND-2025-001504,2026-01-01T00:00:00Z,2025-08-12T13:50:00Z,email,service_request,billing_payments,vat,Low,48.0,49.2,"",pending,"",false,billing,"",6,Standard,London,35-44,F,"Is VAT included in the price?",Neutral,"",vat;pricing;inquiry;billing;tax
ND-2025-001505,2026-01-01T00:00:00Z,2025-08-13T08:40:00Z,phone,incident,performance_outage,loading,High,8.0,10.0,"",open,"",true,engineering,"",35,Pro,South West,25-34,M,"Reports stuck on loading for 20 mins.",Negative,"",loading;stuck;report;performance;slow
ND-2025-001506,2026-01-01T00:00:00Z,2025-08-14T11:15:00Z,email,incident,integrations,webhook,Medium,24.0,27.0,"",on_hold,"",false,engineering,"",22,Standard,Scotland,45-54,F,"Webhook did not fire yesterday.",Negative,"",webhook;failure;connector;sync;bug
ND-2025-001507,2026-01-01T00:00:00Z,2025-08-15T15:00:00Z,webchat,service_request,access_permissions,admin,Low,48.0,52.0,"",open,"",false,operations,"",3,Free,London,18-24,M,"Need admin access to see billing.",Neutral,"",admin;access;permissions;billing;request
ND-2025-001508,2026-01-01T00:00:00Z,2025-08-16T09:20:00Z,in_app,incident,data_reporting,csv,Medium,24.0,25.5,"",pending,"",false,data,"",12,Pro,West Midlands,35-44,F,"CSV download failed network error.",Negative,"",csv;download;failed;error;data
ND-2025-001509,2026-01-01T00:00:00Z,2025-08-17T12:45:00Z,email,service_request,how_to_training,setup,Low,48.0,50.5,"",new,"",false,operations,"",1,Standard,North West,25-34,M,"Setup guide for Xero connector?",Neutral,"",setup;xero;connector;guide;how_to
ND-2025-001510,2026-01-01T00:00:00Z,2025-08-18T14:30:00Z,phone,incident,bug,mobile,High,8.0,9.2,"",open,"",false,engineering,"",28,Enterprise,London,45-54,F,"Mobile view is completely broken.",Negative,"",mobile;ui;broken;layout;bug
ND-2025-001511,2026-01-01T00:00:00Z,2025-08-19T08:55:00Z,email,service_request,billing_payments,refund,Medium,24.0,26.0,"",pending,"",false,billing,"",5,Standard,South East,35-44,M,"Still waiting on that refund.",Negative,"",refund;billing;status;waiting;inquiry
ND-2025-001512,2026-01-01T00:00:00Z,2025-08-20T11:10:00Z,webchat,incident,performance_outage,500_error,Urgent,4.0,5.5,"",open,"",true,engineering,"",45,Pro,Yorkshire,25-34,F,"500 Internal Server Error on main page.",Negative,"",500_error;crash;server;critical;down
ND-2025-001513,2026-01-01T00:00:00Z,2025-08-21T13:25:00Z,in_app,service_request,account_admin,gdpr,Low,48.0,49.0,"",open,"",false,operations,"",2,Free,East of England,18-24,M,"Where can I download my data archive?",Neutral,"",gdpr;data;download;archive;admin
ND-2025-001514,2026-01-01T00:00:00Z,2025-08-22T09:50:00Z,email,incident,integrations,oauth,Medium,24.0,27.5,"",pending,"",false,engineering,"",16,Standard,London,35-44,F,"OAuth error when connecting HubSpot.",Negative,"",oauth;hubspot;error;connector;setup
ND-2025-001515,2026-01-01T00:00:00Z,2025-08-23T14:40:00Z,phone,incident,security_privacy,orbit_id,High,8.0,9.0,"",open,"",true,security,"",32,Enterprise,South West,45-54,M,"Orbit ID not accepting correct password.",Negative,"",orbit_id;login;password;failed;security
ND-2025-001516,2026-01-01T00:00:00Z,2025-08-24T10:15:00Z,webchat,service_request,data_reporting,chart,Medium,24.0,25.0,"",new,"",false,data,"",8,Standard,North East,25-34,F,"Chart axes are not scaling correctly.",Neutral,"",chart;scale;axis;bug;polaris
ND-2025-001517,2026-01-01T00:00:00Z,2025-08-25T12:30:00Z,email,incident,bug,screen_freeze,Low,48.0,51.0,"",open,"",false,engineering,"",4,Pro,London,35-44,M,"It just freezes when I open settings.",Negative,"",screen_freeze;settings;bug;freeze;ui
ND-2025-001518,2026-01-01T00:00:00Z,2025-08-26T08:40:00Z,in_app,service_request,how_to_training,best_practice,Medium,24.0,26.5,"",pending,"",false,operations,"",11,Standard,Scotland,45-54,F,"Best practice for managing multiple clients?",Neutral,"",best_practice;clients;management;help;training
ND-2025-001519,2026-01-01T00:00:00Z,2025-08-27T11:05:00Z,phone,incident,performance_outage,latency,High,8.0,10.0,"",open,"",true,engineering,"",50,Enterprise,London,55-64,M,"Extreme latency making work impossible.",Negative,"",latency;slow;impossible;performance;urgent
ND-2025-001520,2026-01-01T00:00:00Z,2025-08-28T15:20:00Z,email,service_request,billing_payments,downgrade,Low,48.0,49.5,"",open,"",false,billing,"",7,Standard,North West,25-34,F,"Need to downgrade to free tier.",Neutral,"",downgrade;billing;subscription;cancel;plan
ND-2025-001521,2026-01-01T00:00:00Z,2025-08-29T09:30:00Z,webchat,incident,integrations,salesforce,Medium,24.0,25.5,"",pending,"",false,engineering,"",20,Pro,South East,35-44,M,"Salesforce data mismatch in Northstar.",Negative,"",salesforce;data;mismatch;connector;sync
ND-2025-001522,2026-01-01T00:00:00Z,2025-08-30T13:45:00Z,in_app,service_request,access_permissions,mfa,High,8.0,9.2,"",open,"",false,operations,"",14,Standard,Yorkshire,45-54,F,"MFA code not arriving via SMS.",Negative,"",mfa;sms;code;missing;login
ND-2025-001523,2026-01-01T00:00:00Z,2025-08-31T08:50:00Z,email,incident,bug,404,Low,48.0,52.0,"",new,"",false,engineering,"",3,Free,London,18-24,M,"Clicking on profile gives 404.",Neutral,"",404;error;profile;link;bug
ND-2025-001524,2026-01-01T00:00:00Z,2025-08-01T14:10:00Z,phone,service_request,account_admin,notifications,Medium,24.0,27.0,"",open,"",false,operations,"",9,Standard,East Midlands,25-34,F,"Turn off these notification emails.",Neutral,"",notifications;email_prefs;stop;admin;settings
ND-2025-001525,2026-01-01T00:00:00Z,2025-08-05T10:30:00Z,webchat,incident,data_reporting,timezone,High,8.0,9.0,"",pending,"",false,data,"",26,Pro,London,35-44,M,"Timezone conversion is off by one hour.",Negative,"",timezone;data;error;report;bug
ND-2025-001526,2026-01-01T00:00:00Z,2025-08-10T15:45:00Z,email,service_request,how_to_training,onboarding,Low,48.0,50.0,"",new,"",false,operations,"",1,Free,North East,18-24,F,"Need onboarding help for my team.",Neutral,"",onboarding;help;team;setup;training
ND-2025-001527,2026-01-01T00:00:00Z,2025-08-15T11:20:00Z,in_app,incident,performance_outage,crash,Urgent,4.0,5.5,"",open,"",true,engineering,"",60,Enterprise,South West,45-54,M,"System crashed during presentation.",Negative,"",crash;critical;presentation;embarrassing;outage
ND-2025-001528,2026-01-01T00:00:00Z,2025-08-20T09:05:00Z,phone,service_request,billing_payments,credit_card,Medium,24.0,26.0,"",open,"",false,billing,"",12,Standard,Wales,25-34,F,"Card expired need to update.",Neutral,"",credit_card;update;billing;expired;payment
ND-2025-001529,2026-01-01T00:00:00Z,2025-08-25T13:50:00Z,email,incident,bug,v2_update,High,8.0,9.5,"",pending,"",false,engineering,"",30,Pro,London,35-44,M,"V2 update caused regression in reports.",Negative,"",v2_update;regression;report;bug;update
